#VERSION 1.0
#RADIUS    0.6378137000000000E+07
#1/FLAT    0.2982572221010000E+03
#ITRF2020

   10042      AJAC00FRA                        mar_xyz  4696990.000000 0.000001   723994.000000 0.000001  4239678.000000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1004200 GRG3 AJAC00FRA  ASHTECH Z-XII3        ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH700936A_M    NONE 127                  0.0 20000122_000000 20081126_000000 log_file
 1004201 GRG3 AJAC00FRA  LEICA GRX1200GGPRO    ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 226                  0.0 20081126_000000 20090511_000000 log_file
 1004202 GRG3 AJAC00FRA  LEICA GRX1200GGPRO    ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 226                  0.0 20090511_000000 20101018_060000 log_file
 1004203 GRG3 AJAC00FRA  LEICA GRX1200GGPRO    ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 226                  0.0 20101018_060000 20110323_090000 log_file
 1004204 GRG3 AJAC00FRA  LEICA GRX1200GGPRO    ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 226                  0.0 20110323_090000 20110614_070000 log_file
 1004205 GRG3 AJAC00FRA  LEICA GRX1200GGPRO    ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      NONE 226                  0.0 20110614_070000 20121205_090000 log_file
 1004206 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20121205_090000 20130606_120000 log_file
 1004207 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20130606_120000 20131016_100000 log_file
 1004208 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20131016_100000 20140220_090000 log_file
 1004209 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20140220_090000 20140721_000000 log_file
 1004210 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20140721_000000 20140919_120000 log_file
 1004211 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20140919_120000 20141106_000000 log_file
 1004212 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20141106_090000 20150717_080000 log_file
 1004213 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20150717_080000 20160628_000000 log_file
 1004214 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20160628_000000 20161109_100000 log_file
 1004215 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20161109_100000 20170802_100000 log_file
 1004216 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20170802_100000 20180904_000000 log_file
 1004217 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20180904_000000 20190313_133000 log_file
 1004218 GRG3 AJAC00FRA  LEICA GR25            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM57971.00     NONE 4611118324           0.0 20190313_133000 20200121_095900 log_file
 1004219 GRG3 AJAC00FRA  SEPT POLARX5          ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM115000.00    NONE 6122223841           0.0 20200121_100000 20211215_140000 log_file
 1004220 GRG3 AJAC00FRA  LEICA GR50            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM115000.00    NONE 6122223841           0.0 20211215_150000 20240716_000000 log_file
 1004221 GRG3 AJAC00FRA  LEICA GR50            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM115000.00    NONE 6122223841           0.0 20240716_000000 20251208_120000 log_file
 1004222 GRG3 AJAC00FRA  LEICA GR50            ecc_une        0.000000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM115000.00    NONE 6122223841           0.0 20251208_120000 20990101_000000 log_file

   10180      BRST00FRA                        mar_xyz  4231162.000000 0.000001  -332747.000000 0.000001  4745131.000000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1018000 GRG3 BRST00FRA  TRIMBLE 4000SSI       ecc_une        1.054300 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220101990           0.0 19981031_000000 19990402_000000 log_file
 1018001 GRG3 BRST00FRA  TRIMBLE 4000SSI       ecc_une        1.054300 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220101990           0.0 19990402_000000 19990506_000000 log_file
 1018002 GRG3 BRST00FRA  TRIMBLE 4000SSI       ecc_une        1.054300 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220101990           0.0 19990506_000000 20030610_120000 log_file
 1018003 GRG3 BRST00FRA  TRIMBLE 4000SSI       ecc_une        1.054300 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220101990           0.0 20030611_000000 20060725_000000 log_file
 1018004 GRG3 BRST00FRA  TRIMBLE 5700          ecc_une        1.056700 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     NONE 60035644             0.0 20060726_000000 20070419_000000 log_file
