,Date_SPOTGINS,X_SPOTGINS,Y_SPOTGINS,Z_SPOTGINS,vX_SPOTGINS,vY_SPOTGINS,vZ_SPOTGINS,covXY_SPOTGINS,covXZ_SPOTGINS,covYZ_SPOTGINS,SysRef_SPOTGINS,Station_SPOTGINS,Nom_Rinex,Date_GRG,X_GRG,Y_GRG,Z_GRG,vX_GRG,vY_GRG,vZ_GRG,covXY_GRG,covXZ_GRG,covYZ_GRG,SysRef_GRG,Station_GRG,Nom_Station,E,N,U,E_WGS84,N_WGS84,H_WGS84
34,2023.2479,5867781.923,-1733703.157,1795198.993,0.000211202607,0.000107782991,3.58195521e-05,-6.14486527e-05,3.64384039e-05,-5.72597526e-05,ITRF2020,SPOTGINS,NDIC00FRA_R_20230910000,2023.2479,5867781.982,-1733703.226,1795199.026,4.04036005e-05,1.15809324e-05,5.03114668e-06,-1.07260963e-05,1.22992994e-05,-4.1179364e-06,ITRF2020,GRG,NDIC,0.04945431811715621,-0.010081147927251302,-0.0823628607468947,-16.46037733449652,16.456102821471408,32.90499972552061
35,2023.2452,5867781.972,-1733703.251,1795199.039,0.000372370116,0.000247439913,9.53478641e-05,-0.000162965326,0.000126354934,-0.000147802922,ITRF2020,SPOTGINS,NDIC00FRA_R_20230900000,2023.2452,5867781.995,-1733703.223,1795199.019,9.54891862e-05,2.29061447e-05,1.08575594e-05,-2.32521503e-05,2.76966871e-05,-7.22775414e-06,ITRF2020,GRG,NDIC,-0.03336954636531703,0.02318165668193157,-0.007879350728349447,-16.460377273060963,16.456102731070082,32.914158038794994
37,2023.2425,5867782.76,-1733703.459,1795199.218,0.066357442,0.0422899597,0.0418553497,0.0163130957,0.0319582033,0.0361991213,ITRF2020,SPOTGINS,NDIC00FRA_R_20230891700,2023.2425,5867782.003,-1733703.169,1795199.037,8.89702649e-05,2.77827129e-05,8.48737919e-06,-1.28567048e-05,2.22288765e-05,-2.55375548e-06,ITRF2020,GRG,NDIC,-0.06361700125135952,-0.05534676466353,0.8263168963403407,-16.460376766887098,16.456102906590417,32.911940700374544
83,2023.1712,-4713789.761,-3817132.629,-1965764.394,0.000218044724,7.34538097e-05,3.10509141e-05,9.18781023e-05,6.53622209e-05,3.40315172e-05,ITRF2020,SPOTGINS,KAKD00FRA_R_20230630000,2023.1712,-4713789.782,-3817132.63,-1965764.376,0.000859194032,0.000836370295,0.000198447976,0.000496146488,0.000342003728,0.000273563967,ITRF2020,GRG,KAKD,0.012438540890693352,-0.02236958107450232,-0.010530172657645857,-141.0001400034698,-18.07013270989372,-3.402885388582945
87,2023.1657,-4713789.699,-3817132.615,-1965764.372,6.69780114e-06,4.68973104e-06,1.54668101e-06,4.88300905e-06,2.50456317e-06,1.96562201e-06,ITRF2020,SPOTGINS,KAKD00FRA_R_20230610000,2023.1657,-4713789.697,-3817132.614,-1965764.372,1.30163982e-05,9.10909217e-06,2.41685333e-06,7.33655821e-06,4.70511447e-06,3.71811756e-06,ITRF2020,GRG,KAKD,-0.00048148957864088085,0.0006773153146049037,0.0020759126642009183,-141.00013961563155,-18.07013288887923,-3.4764979938045144
88,2023.1685,-4713789.671,-3817132.598,-1965764.363,4.43437007e-06,3.15335809e-06,1.11285195e-06,3.2198118e-06,1.68771323e-06,1.3760334e-06,ITRF2020,SPOTGINS,KAKD00FRA_R_20230620000,2023.1685,-4713789.673,-3817132.607,-1965764.36,9.84516577e-06,6.81917018e-06,1.83197657e-06,5.36688386e-06,3.65957401e-06,2.71256325e-06,ITRF2020,GRG,KAKD,-0.005735689941005664,-0.005090968303347791,-0.005931601447500661,-141.00013952434742,-18.070132850423153,-3.502139716409147
103,2023.2178,5887898.994,-1848576.87,1605953.258,4.07751714e-05,6.50969666e-06,4.70405554e-06,-1.13424158e-05,9.9218142e-06,-3.16543119e-06,ITRF2020,SPOTGINS,DAKI00FRA_R_20230800000,2023.2178,5887898.994,-1848576.856,1605953.251,7.19519661e-05,1.98820314e-05,7.13247822e-06,-1.89622599e-05,1.9060665e-05,-6.07258065e-06,ITRF2020,GRG,DAKI,-0.013357148221382363,0.005708673829168813,0.005830749510138191,-17.430309504850594,14.68066021542154,33.46255569346249
104,2023.2151,5887898.974,-1848576.882,1605953.257,7.14498714e-05,1.08214305e-05,6.08236148e-06,-1.99702211e-05,1.47484792e-05,-4.06919843e-06,ITRF2020,SPOTGINS,DAKI00FRA_R_20230791900,2023.2151,5887898.978,-1848576.892,1605953.258,8.68875034e-05,2.43188387e-05,6.99216497e-06,-2.00178842e-05,1.91066102e-05,-3.45365829e-06,ITRF2020,GRG,DAKI,0.008342637893973031,0.0007589667306580654,-0.006842832769756725,-17.430309868234144,14.680660286885983,33.459994352422655
106,2023.2205,5887898.981,-1848576.864,1605953.255,2.67706342e-05,4.5384204e-06,3.33283281e-06,-7.4091099e-06,6.67989845e-06,-2.0037108e-06,ITRF2020,SPOTGINS,DAKI00FRA_R_20230810000,2023.2205,5887898.995,-1848576.848,1605953.265,4.85492303e-05,1.56598234e-05,5.1377056e-06,-1.30724486e-05,1.3196951e-05,-4.33398616e-06,ITRF2020,GRG,DAKI,-0.019458949830853785,-0.007503040311934008,-0.010819134522260533,-17.430309431205856,14.680660341123689,33.46470853686333
109,2023.2233,5887898.943,-1848576.912,1605953.257,4.10627818e-05,7.09100808e-06,5.43642e-06,-1.12977046e-05,1.08226458e-05,-3.29019782e-06,ITRF2020,SPOTGINS,DAKI00FRA_R_20230820000,2023.2233,5887898.918,-1848576.908,1605953.251,9.81288985e-05,2.89399359e-05,1.09495717e-05,-2.47943235e-05,2.70508134e-05,-8.96939572e-06,ITRF2020,GRG,DAKI,0.003672311041049379,-0.0005443962934047293,0.02575301503131406,-17.43031017682529,14.680660345826645,33.407480529509485
