,Nom_Station,E_WGS84,N_WGS84,H_WGS84
6,RKD4,-134.9688512922305,-23.120438428984336,-6.47956401668489
11,NUMB,166.41656497071654,-22.24208171450096,62.94187292922288
15,MATO,166.79119693880287,-22.551621986746536,61.14179760031402
20,KAKD,-141.0001398859732,-18.070132912002073,-3.413415559567511
23,LDPI,-140.91216851944804,-18.098792777891997,-3.8562368089333177
26,LOU4,-140.96743343152968,-18.06386670752176,-3.54392802529037
29,TAOC,164.8099784428215,-20.557851398491977,65.40834458172321
31,TOUJ,165.23981640193074,-20.77346034945491,65.53698565810919
34,DAKI,-17.430309628862027,14.680660267015476,33.468386442400515
38,NDIC,-16.46037687139234,16.45610273037451,32.82263686414808
42,RAPA,-144.3348407824651,-27.618351300725134,-1.2392331901937723
45,TANI,-16.1100283945586,18.592022433435787,35.43268076982349
51,OUVN,166.56188060713615,-20.549765201519346,65.82682300824672
56,MANN,-146.0580332967745,-14.459472011205202,1.4148740423843265
60,DIEG,49.28840431340189,-12.26767131588526,-18.641501533798873
64,NOSY,48.29157178768425,-13.407442823741404,-14.823325839824975
68,KUTO,167.43976595190858,-22.66382886966563,68.48517338838428
76,TAUD,-149.15889611300238,-17.7522287889231,8.007505833171308
80,HAKA,-140.04645113606327,-9.357906633095805,7.078386163339019
82,OUIL,166.67941859359888,-21.98029900959454,63.33285344205797
84,ABDC,-4.022120378468151,5.30927999650879,27.37285280879587
86,HEIO,164.94800616875793,-20.688586721208022,86.43331587594002
89,HALA,-176.2234354795333,-13.342244401684399,41.71716543659568
91,MAKJ,-143.56936680167732,-16.627021935342757,-0.08792484179139137
94,REPD,164.03177170961393,-20.078235875725163,63.365026239305735
96,FAKA,-145.46141476853185,-16.51441262438452,2.1294158287346363
98,MAKU,-143.5692154015933,-16.627045219604657,2.620468965731561
101,TAHA,-144.66911003201406,-16.859210598322772,-0.16775777097791433
107,RARA,-144.95404789008512,-16.0921184233682,0.7755156699568033
111,TOAU,-145.8871004141507,-15.926580020863973,1.9357902919873595
114,MAHI,-149.49132229770169,-17.495495722563046,9.957698980346322
117,PAPE,-149.4281477263145,-17.50841107785994,12.399663409218192
120,DOUA,9.668197206423123,4.03334598008777,19.432787185534835
124,DOPT,-145.0379316569113,-14.474712175373966,0.35040709376335144
126,VAS2,-149.29457769669875,-17.805902353383516,9.75292779225856
128,VARA,-149.29532831551177,-17.80593609387014,11.720074631273746
130,ASAU,-134.88765087029057,-23.082931287348643,-6.801683050580323
134,MATA,-176.16849326932024,-13.284656464361548,44.80230226367712
137,MARE,167.87870015571818,-21.551376761185566,63.09255713131279
139,8505,166.41610407787869,-22.241985384511466,66.3165102628991
142,QUAI,-148.2412775245253,-15.113984862252163,4.684450224973261
144,DZBN,45.25548502811815,-12.781768668581584,-12.680037457495928
145,PASS,-145.1804418220092,-15.948460396494472,0.49458507634699345
150,Kaue,-145.1108374790578,-15.823423360394214,0.3848808938637376
153,DJIY,43.13154163298155,11.605484132081347,-10.232144232839346
156,UAPJ,-140.04656791572654,-9.357980243514412,5.0781743647530675
163,GOME,164.409312017364,-20.758145396256804,73.16598934680223
165,0171,167.278698560448,-20.91848087818658,66.74626659415662
167,Fakm,-145.62129419405056,-16.054816258917693,1.7252989057451487
169,RANG,-147.70604369393723,-14.945841081993997,7.229819752275944
172,FUTE,-149.5728418693935,-17.532625580987588,9.507932355627418
176,0690,-149.86578704841844,-17.571663822214827,8.430735351517797
179,AFAR,-149.7904440525693,-17.551459814238115,8.718038930557668
181,ESQN,166.41095499860754,-22.242718017463286,80.37015924137086
184,REPK,-149.4862974555987,-23.345012790895503,1.3689940953627229
186,REPY,-149.4752472596878,-23.342198077144698,1.941938143223524
188,TUBU,-149.47554796153855,-23.341793533003553,4.503595191985369
190,2403,-109.21195974242652,10.287886181342458,-23.411562744528055
194,REPT,-134.9688222969084,-23.11773579886892,-6.040488235652447
197,RIKU,-134.96890177443672,-23.117770972972274,-3.927965860813856
199,RepD,166.06447993013302,-21.905864694352825,64.0619446625933
206,REPW,-147.70615436468617,-14.945754675014184,4.7147257551550865
