The Geodesy Plotter,Date: 2026-05-11 11:16:31,Total: 5789,"solution: SPOTGINS
productType: POSITION
"

NAME,EPOCH START,EPOCH END,UPDATED,DOI,REF FRAME,CONSTELLATION,DOWNLOAD URL,YEARS,FILL RATE,NETWORKS,ANALYSIS CENTER,SOLUTION,STATION,PRODUCT TYPE
SPOTGINS_00NA00AUS.ENU,2008-03-27T00:00:00Z,2018-09-25T23:59:59Z,2026-04-08T09:26:14Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/00NA00AUS/SPOTGINS_00NA00AUS.enu,10.492927187111821,82.71186440677965,"['APREF', 'SONEL', 'UCSD']",ULR,SPOTGINS,00NA00AUS,POSITION
SPOTGINS_019400JPN.ENU,2000-05-04T00:00:00Z,2026-02-18T23:59:59Z,2026-04-08T09:35:35Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/019400JPN/SPOTGINS_019400JPN.enu,25.78017336552843,93.31352154531946,"['APREF', 'SONEL']",ULR,SPOTGINS,019400JPN,POSITION
SPOTGINS_01NA00AUS.ENU,2008-04-08T00:00:00Z,2022-01-10T23:59:59Z,2026-04-08T09:25:10Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/01NA00AUS/SPOTGINS_01NA00AUS.enu,13.747319156082845,49.363310783923595,"['APREF', 'SONEL', 'UCSD']",ULR,SPOTGINS,01NA00AUS,POSITION
SPOTGINS_02NA00AUS.ENU,2008-09-22T00:00:00Z,2016-12-31T23:59:59Z,2026-04-08T09:24:18Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/02NA00AUS/SPOTGINS_02NA00AUS.enu,8.27093311912186,63.01687065828647,"['APREF', 'SONEL', 'UCSD']",ULR,SPOTGINS,02NA00AUS,POSITION
SPOTGINS_038400DEU.ENU,2002-01-01T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/038400DEU/SPOTGINS_038400DEU.enu,20.03559202854463,98.71549603716862,,EOST,SPOTGINS,038400DEU,POSITION
SPOTGINS_038600DEU.ENU,2002-01-01T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/038600DEU/SPOTGINS_038600DEU.enu,20.03559202854463,98.79748565181744,,EOST,SPOTGINS,038600DEU,POSITION
SPOTGINS_038700DEU.ENU,2002-01-01T00:00:00Z,2013-12-19T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/038700DEU/SPOTGINS_038700DEU.enu,11.955509893021016,98.78718535469108,,EOST,SPOTGINS,038700DEU,POSITION
SPOTGINS_038800DEU.ENU,2002-05-01T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/038800DEU/SPOTGINS_038800DEU.enu,19.692562140340204,97.94387329813837,,EOST,SPOTGINS,038800DEU,POSITION
SPOTGINS_038900DEU.ENU,2002-01-01T00:00:00Z,2020-12-01T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/038900DEU/SPOTGINS_038900DEU.enu,18.906228578852637,98.49471703575047,,EOST,SPOTGINS,038900DEU,POSITION
SPOTGINS_039000DEU.ENU,2002-01-01T00:00:00Z,2006-10-30T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/039000DEU/SPOTGINS_039000DEU.enu,4.821355204451542,98.92229154849687,,EOST,SPOTGINS,039000DEU,POSITION
SPOTGINS_039100DEU.ENU,2002-01-01T00:00:00Z,2022-01-13T23:59:59Z,2025-05-20T12:57:20Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/039100DEU/SPOTGINS_039100DEU.enu,20.03559202854463,97.81361027603171,,EOST,SPOTGINS,039100DEU,POSITION
