,code,Lat,Lon,he,geometry,dist,dist_to_france
6,0AKE,59.481449046,-341.698047649,43.1312353,POINT (2037364.016236079 6621444.6194467675),654.7934450910772,1623793.8836838577
46,0BJU,64.480589998,-338.425073954,69.5150113,POINT (2401709.7813432496 7177946.44462721),46.755188004113734,2280864.924108032
48,0BLA,57.580371282,-343.484776727,70.6082649,POINT (1838466.24508758 6409817.610799872),870.6234294340329,1333389.2941970706
50,0BLI,59.62671601,-341.099631231,39.281978,POINT (2103979.4271701686 6637615.6639083335),101.25304546703346,1681996.0493191474
90,0FAR,57.919007738,-340.860877203,35.4343357,POINT (2130557.403991974 6447514.448645831),986.5378751871175,1574087.89994081
138,0HEL,56.046533132,-347.29056185,91.8595678,POINT (1414808.1831266033 6239071.528982576),799.0792326774701,935160.5733657976
152,0HOB,56.921748963,-341.848939061,85.9400415,POINT (2020566.8610871583 6336500.109623708),394.2218119723996,1418744.388654445
164,0HUD,61.72521937,-342.860250117,56.0062232,POINT (1907988.2292996296 6871219.9893715065),38.508043472568204,1734946.254158332
179,0JTP,56.229668456,-347.323763993,54.7446831,POINT (1411112.137474596 6259458.059996516),626.8242806196805,950477.3386712003
215,0LAD,55.870267951,-347.158125819,46.4633955,POINT (1429550.8946602035 6219449.778789072),158.07122079041744,926802.9605917635
228,0LFT,57.905686494,-343.30128993,47.267191,POINT (1858891.9018969103 6446031.534547019),64.18123154711044,1373674.8554181466
247,0LVA,64.371110315,-338.686832063,47.4745432,POINT (2372571.001938363 7165759.22206344),984.3485459852363,2252655.944125556
259,0MLE,56.281866409,-347.500882874,58.9594667,POINT (1391395.3538318016 6265268.709544929),441.08820768652595,945266.0680819736
265,0MOA,57.044583537,-343.561440244,49.0503806,POINT (1829932.1014127203 6350173.991853197),671.5324425378047,1285017.369488772
324,0PIS,65.236497251,-338.367832321,36.2071687,POINT (2408081.8907809905 7262093.6551181115),727.7785649013892,2349305.661227826
329,0RAT,63.985593102,-339.104422408,31.5962461,POINT (2326085.0573727735 7122843.642220238),208.04637501671326,2189860.0081458786
334,0RIB,56.65122532,-343.751314443,48.3966042,POINT (1808795.4022652565 6306385.555437407),556.5094878293173,1239368.828752519
354,0SBR,62.459599363,-342.643037926,85.2027357,POINT (1932168.1797958408 6952970.796241034),703.1737092109868,1815983.428999523
362,0SKB,62.399436382,-342.661881427,74.5142903,POINT (1930070.5308597542 6946273.483831508),410.81898125877206,1809264.3748168002
365,0SKH,64.688597467,-338.769537386,37.5658009,POINT (2363364.2874961086 7201101.730157486),580.6849464214528,2273805.1229954823
375,0SMY,55.345702933,-346.630143432,50.1586671,POINT (1488325.6251288604 6161055.468097347),27.311143233123136,914717.1805490331
380,0SOD,60.437296371,-341.583677314,40.8096567,POINT (2050095.6636901302 6727849.056941881),744.8545284002284,1710587.3602612028
386,0SSB,65.658502169,-338.057075041,53.1312074,POINT (2442675.2329508876 7309071.0277021285),151.08649029924996,2407559.211781885
388,0STA,59.30886545,-341.306735701,36.0583658,POINT (2080924.6630287617 6602232.701420776),621.8736198881196,1640710.888316834
408,0SVI,57.077024659,-343.139406939,41.7264488,POINT (1876912.63402312 6353785.321035),184.89878036614513,1321423.7963626217
422,0TOK,56.412759368,-347.375007923,46.6901008,POINT (1405407.689280751 6279839.647089234),231.9433594606565,964944.3519455501
496,1GRY,58.186667912,-343.199141659,53.9045166,POINT (1870262.9954100426 6477310.242921149),599.1451278645724,1404247.7543910267
497,1HAD,56.658510093,-347.193054165,50.0194161,POINT (1425662.6889692359 6307196.492658311),903.1610099204062,998818.9764074094
500,1HEL,56.046045434,-347.289892772,88.2796454,POINT (1414882.6645488697 6239017.238689556),834.4527872033774,935154.7496383638
502,1HLV,56.013666037,-345.309453769,72.5600491,POINT (1635344.1259099636 6235412.780703322),375.05606991332024,1067145.2730221888
