"Marker","Site Name","Latitude (°D)","Longitude (°D)","Altitude (m)","Install Date","End Date","Country","Nodes","Datacenters","City","Agency","Network"
"AAER00FRA","Aérodrome des Ardennes Etienne Riché","49.7825","4.6426","199.27","2025-01-30 16:00:00","","France","French-Node & ROB-EUREF","EPN HDC","Charleville-Mezieres","Institut National de l'Information Géographique et Forestière","RGP & EPN"
"AARS00BEL","AARSCHOT","50.9633","4.8361","104.66","2002-10-04 00:00:00","","Belgium","Belgian-node","Belgian DC","Aarschot","Royal Observatory of Belgium & Digitaal Vlaanderen","FLEPOS"
"AAS200GRL","Aasiaat","68.7194","-52.7932","57.71","2022-08-09 13:03:00","","Greenland","EPOS-GNSS European Node","EPOSGNSS","Aasiaat","National Space Institute Technical University of Denmark & The Danish Agency for Climate Data","N/A"
"AASI00GRL","Aasiaat","68.7193","-52.7933","56.37","2005-09-28 00:00:00","2023-08-21 14:00:00","Greenland","EPOS-GNSS European Node","EPOSGNSS","Aasiaat","National Space Institute Technical University of Denmark & The Danish Agency for Climate Data","N/A"
"ABAN00ESP","Abanilla","38.1751","-1.0536","207.62","2009-09-10 00:00:00","","Spain","Spanish EPOS Data node","REGAM","Parque De Bomberos De Abanilla, Abanilla","Comunidad Autónoma de la Region de Murcia","REGAM"
"ABBS00GBR","St Abbs","55.8989","-2.1286","60.77","2004-10-29 00:00:00","2009-03-25 00:00:00","United Kingdom of Great Britain and Northern Ireland","EPOS-GNSS European Node","EPOSGNSS","St Abbs","Ordnance Survey","OS Net"
"ABD000GLP","Anse-Bertrand","16.4743","-61.488","-22.65","2012-10-05 00:00:00","","Guadeloupe","IPGP-GNSS","IPGP-GNSS","Anse-Bertrand","Institut National de l'Information Géographique et Forestière & Exagone","RGP & TERIA & VOLC & GL"
"ABDZ00GLP","Anse Bertrand","16.4743","-61.488","-22.65","2012-10-05 00:00:00","","Guadeloupe","IPGP-GNSS","IPGP-GNSS","Anse Bertrand","Guadeloupe Seismic and Volcano Observatory","WI & VOLC & GL"
"ABEA00GBR","Aberdaron","52.789","-4.741","146.08","2005-12-05 00:00:00","2009-04-16 00:00:00","United Kingdom of Great Britain and Northern Ireland","EPOS-GNSS European Node","EPOSGNSS","Aberdaron","Ordnance Survey","OS Net"
"ABEP00GBR","Aberporth","52.1394","-4.5713","187.5","2005-07-21 00:00:00","","United Kingdom of Great Britain and Northern Ireland","EPOS-GNSS European Node","EPOSGNSS","Aberporth","Ordnance Survey","OS Net"
"ABG000GLP","Abri_geophysique","16.0412","-61.6594","1254.51","2017-05-18 00:00:00","","Guadeloupe","IPGP-GNSS","IPGP-GNSS","Saint Claude","Guadeloupe Seismic and Volcano Observatory","VOLC & GL"
"ACAL00ESP","Los Alcázares","37.7308","-0.861","67.58","2009-09-11 00:00:00","","Spain","Spanish EPOS Data node","REGAM","Parque De Bomberos De Los Alcázares, Los Alcázares","Comunidad Autónoma de la Region de Murcia","REGAM"
"ACER00ITA","Acerenza (PZ)","40.7867","15.9424","764.69","2007-07-11 00:00:00","","Italy","IRN","RING","Acerenza (Pz)","Istituto Nazionale di Geofisica e Vulcanologia","RING"
"ACHE00FRA","Allanche","45.2289","2.9318","1048.03","2021-03-08 18:00:00","","France","French-Node","NO DATA","Allanche","Institut National de l'Information Géographique et Forestière & Exagone","RGP & TERIA"
"ACIN00ESP","Albarracin","40.4089","-1.4368","1178.3","2010-01-19 00:00:00","","Spain","Spanish EPOS Data node","ARAGEA","Albarracin","Instituto Geografico de Aragon","ARAGEA"
"ACNS00ESP","Alcanices","41.7001","-6.3521","871.2","2008-02-14 00:00:00","","Spain","Spanish EPOS Data node","IGE","Alcanices","Instituto Tecnologico Agrario de Castilla y Leon","ITACYL & ERGNSS"
"ACOM00ITA","Monte Acomizza","46.5479","13.5149","1774.67","2003-07-01 00:00:00","","Italy","CEGNxEPOS","FReDNet_DC","Malborghetto-Valbruna","Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS","FReDNet & NFO_NITRO"
"ACOR00ESP","A Coruna","43.3644","-8.3989","66.95","1998-03-06 10:10:00","","Spain","ROB-EUREF & SONEL & Spanish EPOS Data node","EPN HDC, IGE, SONEL","A Coruna","Instituto Geografico Nacional de Espana","EPN & ERGNSS"
"ADAR00GBR","Aberdaron","52.7892","-4.7413","148.35","2009-03-04 00:00:00","","United Kingdom of Great Britain and Northern Ireland","ROB-EUREF","EPN HDC","Aberdaron","Ordnance Survey","EPN & OS Net"
"ADCS00ROU","Adamclisi","44.0882","27.9657","189.15","2019-05-14 00:00:00","","Romania","Romanian National Node","ROGNSS","Adamclisi","National Institute for Earth Physics","NIEP_GNSS"
"ADE000GLP","DESIRADE AIRPORT","16.2969","-61.0865","-40.33","2002-09-05 00:00:00","","Guadeloupe","IPGP-GNSS","IPGP-GNSS","Beausejour - La Desirade","Guadeloupe Seismic and Volcano Observatory","VOLC & GL"
"ADER00FRA","Adervielle","42.8133","0.3799","1791.48","2022-10-26 14:00:00","2023-08-01 12:34:00","France","French-Node","RENAG","Adervielle","Observatoire Midi-Pyrénées","RENAG"
"AEGY00ROU","Tulcea","45.1864","28.8151","67.18","2013-11-28 00:00:00","","Romania","Romanian National Node","NO DATA","Tulcea","National Institute for Marine Geology and Geoecology & National Institute for Earth Physics","GeoPontica"
"AFAL00ITA","Alpe Faloria","46.5271","12.1745","2284.08","2003-06-16 00:00:00","","Italy","CEGNxEPOS","FReDNet_DC","Cortina D'Ampezzo","Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS","FReDNet"
"AGAL00GLP","Abri_du_Galion","16.0384","-61.6634","1096.52","2018-04-15 00:00:00","","Guadeloupe","IPGP-GNSS","IPGP-GNSS","Saint-Claude","Guadeloupe Seismic and Volcano Observatory","VOLC & GL"
"AGDE00FRA","Cap d'Agde purification station","43.2964","3.4664","65.77","2006-09-04 12:00:00","","France","French-Node","RENAG","Cap D'Agde - Agde","Observatoire de Recherche Méditerranéen de l’Environnement & Epos-France RENAG CNRS","RENAG & RGP"
"AGIG00ROU","Agigea","44.0865","28.6419","47.34","2013-06-11 00:00:00","","Romania","Romanian National Node","NO DATA","Agigea","National Institute for Marine Geology and Geoecology & National Institute for Earth Physics","GeoPontica"
"AGLM00FRA","Angouleme","45.6468","0.1384","102.88","2023-04-18 12:00:00","","France","French-Node","NO DATA","Angouleme","Institut National de l'Information Géographique et Forestière & Exagone","RGP & TERIA"
"AGRD00ESP","Agreda","41.849","-1.9306","1010.79","2007-04-26 00:00:00","","Spain","Spanish EPOS Data node","ITACYL","Agreda","Instituto Tecnologico Agrario de Castilla y Leon","ITACYL"
"AGRN00ITA","Agrigento","37.3033","13.5965","244.9","2018-05-25 00:00:00","","Italy","ROB-EUREF & SONEL","EPN HDC, SONEL","Agrigento","Agenzia Spaziale Italiana","EPN"
"AGU100PRT","Águeda","40.5756","-8.4469","102.81","2023-07-12 15:00:00","","Portugal","Portuguese EPOS-GNSS Node","C4G","Águeda","Direcao-Geral do Territorio","ReNEP"
"AGUE00PRT","Agueda","40.5756","-8.4469","102.93","2008-10-23 16:00:00","2023-07-11 15:00:00","Portugal","Portuguese EPOS-GNSS Node","C4G","Agueda","Direcao-Geral do Territorio","ReNEP"
"AGUI00ESP","AGUIMES","27.9039","-15.4458","329.12","2009-12-14 00:00:00","","Spain","SONEL & Spanish EPOS Data node","GRAFCAN, SONEL","Aguimes","Cartográfica de Canarias, S.A.","REPCAN"
"AHTO00BGR","AHTO00BGR","42.084","27.9521","68.21","2019-01-04 00:00:00","","Bulgaria","NOA","NO DATA","Ahtopol","National Institute of Geophysics, Geodesy and Geography","N/A"
"AIGL00FRA","Mont Aigoual","44.1214","3.5813","1618.75","2001-06-01 00:00:00","","France","French-Node","RENAG","Valleraugue","Observatoire de Recherche Méditerranéen de l’Environnement & Epos-France RENAG CNRS","RENAG & RGP"
"AILT00FRA","Aillant-sur-Tholon","47.877","3.3559","186.83","2006-10-23 00:00:00","","France","French-Node","NO DATA","Aillant-Sur-Tholon","Institut National de l'Information Géographique et Forestière & Exagone","RGP & TERIA"
"AIO200ESP","Ayora","39.0614","-1.0592","662.12","2019-10-03 00:00:00","","Spain","Spanish EPOS Data node","ERVA","Ayora","Institut Cartogràfic Valencià","ERVA"
"AIRM00ESP","Aeropuerto","37.8065","-1.1286","253.96","2013-02-11 00:00:00","","Spain","Spanish EPOS Data node","REGAM","Aeropuerto Internacional De La Región De Murcia, Corvera","Comunidad Autónoma de la Region de Murcia","REGAM"
"AITO00BGR","AITO00BGR","42.6995","27.2488","140.97","2009-03-21 00:00:00","","Bulgaria","NOA","NO DATA","Aitos","National Institute of Geophysics, Geodesy and Geography","N/A"
"AJAC00FRA","Ajaccio","41.9275","8.7626","98.77","2000-01-22 00:00:00","","France","French-Node & ROB-EUREF & SONEL","EPN HDC, SONEL, UNAVCO","Ajaccio","Institut National de l'Information Géographique et Forestière","EPN & IGS & RGP"
"AJAL00ESP","Arcos de Jalon","41.2161","-2.2736","884.2","2007-04-27 00:00:00","","Spain","Spanish EPOS Data node","ITACYL","Arcos De Jalon","Instituto Tecnologico Agrario de Castilla y Leon","ITACYL"
"AJB000MTQ","Ajoupa Bouillon","14.8123","-61.12","297.38","2005-02-01 00:00:00","","Martinique","IPGP-GNSS","IPGP-GNSS","Ajoupa Bouillon","Guadeloupe Seismic and Volcano Observatory & Martinique Seismic and Volcano Observatory","VOLC & MQ"
"AJOE00EST","Alajõe","59.0121","27.4239","59.76","2014-09-17 14:00:00","2026-06-10 08:00:00","Estonia","EPOS-GNSS European Node","EPOSGNSS","Alajõe","Estonian Land Board","ESTPOS"
"AKUR00ISL","Akureyri","65.6854","-18.1225","134.24","2001-07-31 00:00:00","","Iceland","ISGPSN","NO DATA","Akureyri","Icelandic Meteorological Office & National Land Survey of Iceland","N/A"
"ALAC00ESP","Alicante","38.3389","-0.4812","60.34","1998-03-06 10:10:00","","Spain","ROB-EUREF & SONEL & Spanish EPOS Data node","EPN HDC, IGE, SONEL","Alicante","Instituto Geografico Nacional de Espana","EPN & ERGNSS & IGS"
"ALAK00EST","Alatskivi","58.5999","27.1354","76.49","2024-11-12 12:00:00","","Estonia","EPOS-GNSS European Node","EPOSGNSS","Alatskivi","Estonian Land Board","ESTPOS"
"ALB100SWE","Älvsbyn","65.674","21.0069","75.85","2011-05-16 00:00:00","","Sweden","EPOS-GNSS European Node","EPOSGNSS","Älvsbyn","Lantmäteriet, the Swedish mapping, cadastral and land registration authority","SWEPOS"
"ALBA00ESP","Albacete","38.9779","-1.8564","751.63","2002-06-20 00:00:00","","Spain","ROB-EUREF & Spanish EPOS Data node","EPN HDC, IGE","Albacete","Instituto Geografico Nacional de Espana","EPN & ERGNSS"
