#STATION MASTER FILE
#  -COORDINATES OF STATIONS CONSIDERED
#  -WITH LOGFILES INFOS
# Last update: 2026-06-22 17:56:49.933602
#
#AC    NAME       ID       LATITUDE    LONGITUDE        HEIGHT       X_position       Y_position       Z_position  LOGFILE_NAME            DATA_SOURCE
  ULR  00NA00AUS  50001  -12.466600   130.843987    104.851700  -4073662.881603   4712065.488412  -1367870.178457  00na00aus_20240521.log  SONEL,GA
  ULR  019400JPN  20098   39.185563   139.547660     45.206476  -3766965.439800   3211877.152600   4008334.291900  019400jpn_20231120.log  SONEL,GSI
  ULR  01NA00AUS  50121  -12.478224   130.982047    105.408565  -4084823.460672   4702026.669617  -1369125.889324  01na00aus_20250622.log  SONEL,GA
  ULR  02NA00AUS  50122  -12.355923   130.881729    117.652472  -4078496.438787   4711380.144614  -1355915.177490  02na00aus_20220526.log  SONEL,GA
 EOST  038400DEU  12025   48.779475     9.170920    341.015857   4157307.410000    671171.700000   4774690.450000  None                    SAPOS
 EOST  038600DEU  12026   49.138489     9.218319    234.791923   4126956.050000    669775.180000   4800826.590000  None                    SAPOS
 EOST  038700DEU  12027   49.388901     8.675297    168.830717   4112214.490000    627442.900000   4818951.160000  None                    SAPOS
 EOST  038800DEU  12028   48.830095     8.112584    185.434618   4164699.920000    593657.820000   4778281.130000  None                    SAPOS
 EOST  038900DEU  12029   49.106435     9.717581    433.041063   4123747.910000    706187.520000   4798643.400000  None                    SAPOS
 EOST  039000DEU  12030   47.999015     7.844387    364.445263   4236029.540000    583607.460000   4717073.910000  None                    SAPOS
 EOST  039100DEU  12031   48.585699     9.802372    736.289155   4165864.750000    719747.400000   4760759.100000  None                    SAPOS
 EOST  039200DEU  12032   49.624270     9.670825    247.338715   4081117.310000    695459.540000   4836010.120000  None                    SAPOS
 EOST  039300DEU  12033   48.473046     7.950991    233.492192   4195910.240000    586037.200000   4752085.850000  None                    SAPOS
 EOST  039400DEU  12034   48.517699     9.055853    386.181396   4180257.490000    666265.630000   4755490.830000  None                    SAPOS
 EOST  039500DEU  12035   47.793100     9.624214    503.956939   4232700.770000    717747.880000   4701825.530000  None                    SAPOS
 EOST  039600DEU  12036   48.100109     9.793236    599.295435   4205648.410000    725930.300000   4724763.400000  None                    SAPOS
 EOST  039700DEU  12037   48.083587     9.223909    645.291058   4214033.910000    684329.300000   4723570.470000  None                    SAPOS
 EOST  039800DEU  12038   48.464480     8.415783    784.419391   4192085.000000    620213.240000   4751866.660000  None                    SAPOS
 EOST  039900DEU  12039   48.066899     8.464791    792.071315   4224193.290000    628656.370000   4722439.690000  None                    SAPOS
 EOST  040000DEU  12040   48.519496     9.078386    382.175062   4179844.710000    667885.480000   4755620.180000  None                    SAPOS
 EOST  040100DEU  12041   48.013158     7.833986    320.428522   4234948.410000    582675.130000   4718093.310000  None                    SAPOS
 EOST  040200DEU  12042   48.073081     8.527553    790.903423   4222995.530000    633207.200000   4722898.230000  None                    SAPOS
 EOST  040300DEU  12043   49.004936     8.386065    184.141817   4147318.400000    611392.050000   4791057.810000  None                    SAPOS
 EOST  040400DEU  12044   48.476160     7.943171    223.728718   4195727.040000    585427.850000   4752308.080000  None                    SAPOS
 EOST  040500DEU  12045   49.565103     8.425044    140.875301   4100161.630000    607290.540000   4831663.440000  None                    SAPOS
 EOST  040600DEU  12046   47.813269     9.657141    565.435535   4230690.390000    719908.400000   4703377.430000  None                    SAPOS
 EOST  040700DEU  12047   49.115963     9.792254    444.410320   4122041.980000    711426.420000   4799345.620000  None                    SAPOS
  ULR  045700JPN  20333   34.268206   129.311501     43.445091  -3342917.206500   4082574.451600   3571096.441700  None                    unknown
  ULR  075000JPN  20311   24.338877   124.172648     46.815505  -3266006.184148   4810720.624909   2612546.657348  075000jpn_20240829.log  SONEL,GSI
 EOST  092800DEU  12048   49.323582     7.336195    308.459282   4131311.940000    531886.140000   4814325.150000  None                    SAPOS
 EOST  092900DEU  12049   49.443437     6.644008    244.238970   4127343.490000    480762.790000   4822954.430000  092900deu_20240303.log  SAPOS
 EOST  093000DEU  12050   49.217692     7.008630    284.323980   4143127.670000    509345.580000   4806622.410000  093000deu_20221201.log  SAPOS
 EOST  093100DEU  12051   49.313673     6.746017    245.652510   4137360.730000    489397.270000   4813559.110000  None                    SAPOS
 EOST  093200DEU  12052   49.470046     7.175705    350.277267   4120541.410000    518770.430000   4824958.790000  None                    SAPOS
 EOST  093400DEU  12053   49.538774     6.886054    354.970190   4117343.140000    497236.480000   4829926.470000  None                    SAPOS
 EOST  0AKE00SWE  12674   59.481449    18.301952     43.131158   3082774.422900   1019646.699300   5471402.961000  None                    SWEPOS-LMV
 EOST  0ALM00SWE  11501   59.866298    18.070802     56.725733   3051686.659700    995723.951300   5493063.218200  None                    SWEPOS-LMV
 EOST  0ALV00SWE  13086   61.230953    14.037066    279.829828   2985827.003000    746502.307000   5568019.249000  alv000swe_20240502.log  SWEPOS-LMV
 EOST  0ARJ00SWE  11502   66.318021    18.124871    489.354925   2441774.866100    799268.390700   5818729.589700  arj000swe_20260326.log  SWEPOS-LMV
  ULR  0ARK00SWE  10003   58.483300    16.962659     37.542000   3196905.152070    975114.199200   5414102.865578  None                    SONEL,SWEPOS-LMV
 EOST  0BIE00SWE  11503   59.087756    16.211651     91.751550   3154144.011000    917059.125000   5449043.346200  None                    SWEPOS-LMV
  ULR  0BIS00SWE  10004   57.725100    11.891921    131.431500   3340786.949215    703522.258848   5369562.058960  None                    SONEL,SWEPOS-LMV
 EOST  0BJO00SWE  11504   59.240294    14.259873    199.534317   3169460.095400    805521.727900   5457846.096600  None                    SWEPOS-LMV
  ULR  0BOD00SWE  10005   57.247000    17.058659     45.505700   3306738.146389   1014674.320492   5340869.677581  None                    SONEL,SWEPOS-LMV
 EOST  0BOR00SWE  11505   57.714961    12.891354    220.029157   3328984.286300    761910.520000   5369033.883400  None                    SWEPOS-LMV
  ULR  0BRU00SWE  13587   57.729983    11.972136     77.265993   3339320.612433    708097.322028   5369806.646476  None                    SONEL,SWEPOS-LMV
  ULR  0FRL00SWE  10006   57.650300    11.912195    112.698600   3347417.126812    706155.576563   5365093.135995  None                    SONEL,SWEPOS-LMV
 EOST  0GRN00SWE  13087   63.041440    13.967872    605.966806   2813762.816000    699874.204000   5662613.718000  grn000swe_20250401.log  SWEPOS-LMV
 EOST  0GRO00SWE  13088   62.060328    12.317255    726.870533   2927623.203000    639248.761000   5612310.676000  gro000swe_20250401.log  SWEPOS-LMV
 EOST  0HAS00SWE  11506   56.092220    13.718082    114.088046   3464655.282500    845750.411700   5270271.875500  has000swe_20260326.log  SWEPOS-LMV
  ULR  0HDG00SWE  10007   59.221700    17.934081    107.383600   3112973.667517   1007508.341251   5456707.228633  None                    SONEL,SWEPOS-LMV
 EOST  0HED00SWE  13089   62.419454    13.513205    470.067085   2879086.436000    691909.315000   5630727.341000  hed000swe_20260331.log  SWEPOS-LMV
  ULR  0HNA00SWE  10008   60.534900    17.880049     42.206500   2993457.329472    965709.406956   5530070.953767  None                    SONEL,SWEPOS-LMV
 EOST  0HOA00SWE  13090   57.967678    12.693486    198.899023   3308338.307000    745170.989000   5383997.781000  hoa000swe_20250401.log  SWEPOS-LMV
 EOST  0HOS00SWE  13091   63.672844    20.388644     32.431124   2658636.475000    988138.248000   5693663.288000  hos000swe_20260331.log  SWEPOS-LMV
 EOST  0JAV00SWE  13092   65.156008    21.486051     59.908441   2500466.897000    984256.957000   5765093.710000  jav000swe_20250808.log  SWEPOS-LMV
 EOST  0JON00SWE  11373   57.745476    14.059615    260.467133   3309991.301500    828932.528000   5370882.664100  jon000swe_20260326.log  SWEPOS-LMV
 EOST  0KAB00SWE  13093   66.148782    19.989176    387.139942   2430673.567000    884172.836000   5811029.918000  None                    SWEPOS-LMV
 EOST  0KAR00SWE  11374   59.444024    13.505631    114.442844   3160762.844600    759160.577400   5469345.936800  None                    SWEPOS-LMV
 EOST  0KIR00SWE  11375   67.877578    21.060247    498.159460   2248122.910100    865686.869600   5886425.980300  None                    SWEPOS-LMV
 EOST  0KRA00SWE  13095   62.875449    17.927665    150.914801   2774197.697000    897520.940000   5653796.454000  kra000swe_20260326.log  SWEPOS-LMV
  ULR  0KRO00SWE  10009   57.680200    11.984511    127.413800   3343778.504653    709797.338873   5366886.710931  None                    SONEL,SWEPOS-LMV
  ULR  0KTH00SWE  10010   59.349900    18.069382     75.279400   3098897.434735   1011043.212220   5463974.086532  None                    SONEL,SWEPOS-LMV
 EOST  0KVI00SWE  13096   66.942491    17.739054    361.371971   2386163.032000    763314.248000   5846236.922000  kvi000swe_20250401.log  SWEPOS-LMV
 EOST  0LEK00SWE  11376   60.722148    14.877014    478.302800   3022572.668400    802946.064700   5540684.417300  lek000swe_20260331.log  SWEPOS-LMV
  ULR  0LIO00SWE  13588   59.365656    18.126947     86.638180   3096450.395234   1013688.131904   5464878.450180  None                    SONEL,SWEPOS-LMV
  ULR  0LOD00SWE  10011   55.766900    12.995752     56.349400   3504246.322623    808745.356139   5249932.202386  None                    SONEL,SWEPOS-LMV
 EOST  0MJO00SWE  11377   58.324796    15.124955    159.881629   3241110.319700    876033.258600   5404957.076500  None                    SWEPOS-LMV
 EOST  0MLA00SWE  13098   65.188139    18.758609    359.403770   2541510.396000    863152.411000   5766869.851000  mla000swe_20250401.log  SWEPOS-LMV
  ULR  0MOS00SWE  10012   59.318400    18.074215     91.358700   3101689.431759   1012243.616853   5462198.132061  None                    SONEL,SWEPOS-LMV
 EOST  0NOR00SWE  11378   58.590234    16.246389     41.057276   3199092.775800    932231.740100   5420322.893000  nor000swe_20260326.log  SWEPOS-LMV
  ULR  0NYB00SWE  10013   65.795900    23.170032     38.554000   2410778.881880   1031768.916841   5794689.050881  None                    SONEL,SWEPOS-LMV
  ULR  0NYK00SWE  13593   58.770008    16.977574     66.798104   3170587.179154    967988.954612   5430754.230424  None                    SONEL,SWEPOS-LMV
 EOST  0NYN00SWE  11379   58.902976    17.944240     66.190854   3141747.117600   1017436.260300   5438418.566200  None                    SWEPOS-LMV
  ULR  0OKC00SWE  10014   57.251900    16.465365     52.267100   3316630.948860    980250.435313   5341170.572600  None                    SONEL,SWEPOS-LMV
 EOST  0OSK00SWE  11380   57.065642    15.996816    149.843959   3341339.619000    957912.757600   5330003.596500  osk000swe_20260331.log  SWEPOS-LMV
 EOST  0OST00SWE  11381   63.442796    14.858074    490.241401   2763884.986900    733247.720300   5682653.807600  ost000swe_20260326.log  SWEPOS-LMV
 EOST  0OTM00SWE  13099   60.283995    12.757706    150.748088   3091485.612000    699968.875000   5516360.692000  None                    SWEPOS-LMV
 EOST  0OVE00SWE  11382   66.317861    22.773381    223.138553   2368884.451400    994492.546100   5818478.625600  None                    SWEPOS-LMV
  ULR  0OXE00SWE  11383   58.670958    17.107047     46.885747   3177394.138500    977921.896000   5425008.587200  None                    SONEL,SWEPOS-LMV
 EOST  0SAX00SWE  13100   64.971767    15.347451    622.390638   2609572.130000    716221.617000   5756942.777000  sax000swe_20250401.log  SWEPOS-LMV
 EOST  0SDE00SWE  12675   59.189569    17.608095    107.244118   3121586.097400    990710.890400   5454874.612900  None                    SWEPOS-LMV
 EOST  0SKE00SWE  11384   64.879200    21.048297     81.459868   2534030.640500    975174.787700   5752078.813300  None                    SWEPOS-LMV
  ULR  0SKL00SWE  10015   55.474900    14.279359     58.131300   3511253.220756    893660.219600   5231576.352481  None                    SONEL,SWEPOS-LMV
  ULR  0SKN00SWE  10016   55.413800    12.857949     48.585400   3537797.229066    807531.500783   5227710.112768  None                    SONEL,SWEPOS-LMV
 EOST  0SLU00SWE  13101   65.431550    16.245423    408.716912   2553258.924000    743985.840000   5778251.835000  slu000swe_20250401.log  SWEPOS-LMV
 EOST  0SOD00SWE  11385   60.437296    18.416323     40.809577   2993266.132800    996674.302300   5524712.278800  None                    SWEPOS-LMV
